Open_time,Open,High,Low,Close,Volume
4/10/18 7:00,6781.55,6790,6747.93,6754.03,266.622836
4/10/18 6:45,6730.33,6795,6730.07,6782.72,397.819364
4/10/18 6:30,6725,6745.99,6711.55,6730.34,237.669755
4/10/18 6:15,6725.95,6730,6710,6724.99,143.242297
4/10/18 6:00,6694.34,6730,6692.86,6726,148.607263
4/10/18 5:45,6703.06,6712.9,6692.86,6693,127.387787
4/10/18 5:30,6696,6722.99,6692.88,6705,191.555955
4/10/18 5:15,6719,6719,6683.03,6696.99,160.026128
4/10/18 5:00,6723.67,6723.67,6710,6719,167.130419
4/10/18 4:45,6725.87,6732,6708,6723.67,208.495195
4/10/18 4:30,6690.02,6741.62,6687.23,6726.5,290.411018
4/10/18 4:15,6684,6707.02,6679.1,6694,192.450402
4/10/18 4:00,6671.97,6702.88,6671.09,6684,225.365331
4/10/18 3:45,6674,6685.79,6669,6671.09,153.831161
4/10/18 3:30,6652.22,6679.03,6640,6674,234.660687
4/10/18 3:15,6628.99,6683,6611,6652.22,568.233775
4/10/18 3:00,6677.04,6678,6624,6627.98,640.811105
4/10/18 2:45,6680,6699,6668.18,6672.08,305.513193
4/10/18 2:30,6731.99,6750,6650.01,6680,832.264904
4/10/18 2:15,6753.11,6757.97,6730,6730,164.667303
4/10/18 2:00,6750.01,6758,6741,6753.11,184.883825
4/10/18 1:45,6759.99,6766.99,6750,6750.01,150.742958
4/10/18 1:30,6757,6761.98,6741,6755.04,151.097509
4/10/18 1:15,6766,6767.99,6747,6757.99,138.807863
4/10/18 1:00,6745.99,6767.24,6730,6766,214.40973
4/10/18 0:45,6741,6754,6740.01,6746,161.391566
4/10/18 0:30,6722.56,6750,6722.56,6740.01,172.213914
4/10/18 0:15,6748.01,6753,6722.56,6722.56,178.219541
4/10/18 0:00,6754.99,6755,6745,6748.01,125.231321
4/9/18 23:45,6737.01,6759,6732,6754.97,172.33487
4/9/18 23:30,6747.01,6757.26,6727.11,6737.17,199.007573
4/9/18 23:15,6750.14,6759.9,6745,6751.2,178.074029
4/9/18 23:00,6738.98,6758.22,6720.01,6756.98,256.192847
4/9/18 22:45,6771.99,6774.8,6719.89,6738.98,316.68474
4/9/18 22:30,6765.9,6774.89,6750,6771.99,233.303952
4/9/18 22:15,6726.01,6783,6724.01,6765.9,392.725492
4/9/18 22:00,6738,6748,6717.01,6730,263.316135
4/9/18 21:45,6718,6738.94,6712.44,6731.27,278.805369
4/9/18 21:30,6702.27,6735.09,6702.26,6718,300.047223
4/9/18 21:15,6700,6723.05,6694.9,6702.27,359.642847
4/9/18 21:00,6730.9,6732.01,6680,6700,814.943854
4/9/18 20:45,6746.05,6746.05,6714,6730.88,348.10028
4/9/18 20:30,6760,6763.99,6727,6745.12,326.869705
4/9/18 20:15,6744.99,6764,6714.03,6760,289.196827
4/9/18 20:00,6739.99,6759,6722.46,6745,233.352667
4/9/18 19:45,6705,6762.09,6697,6740,437.476151
4/9/18 19:30,6734.23,6749.5,6676.5,6710,636.578734
4/9/18 19:15,6745,6765.7,6696.3,6734.23,1183.702686
4/9/18 19:00,6740,6792,6726.77,6746.51,483.052226
4/9/18 18:45,6768.39,6775.9,6740,6745,276.681176
4/9/18 18:30,6764.85,6770,6734,6760,528.145455
4/9/18 18:15,6747,6767.43,6691.18,6762,945.504612
4/9/18 18:00,6782.99,6799.5,6707,6747,1124.767958
4/9/18 17:45,6819.98,6833,6773.01,6782,906.021822
4/9/18 17:30,6780,6839.69,6780,6816.21,1214.003696
4/9/18 17:15,7026.44,7027.33,6765.81,6780,2585.618028
4/9/18 17:00,7076,7083,7018,7027.2,524.875799
4/9/18 16:45,7091.01,7108.71,7075.1,7076,196.49227
4/9/18 16:30,7107,7120,7072,7091.01,361.30922
4/9/18 16:15,7137.03,7145,7084.48,7107,322.160773
4/9/18 16:00,7167,7185,7132,7137.03,391.423259
4/9/18 15:45,7145.13,7170.92,7145.01,7167,206.252766
4/9/18 15:30,7141,7154.72,7135.11,7145.14,194.488133
4/9/18 15:15,7150,7170.02,7133,7144,259.214297
4/9/18 15:00,7129.79,7170,7125.01,7150,435.454931
4/9/18 14:45,7119.99,7135.19,7115,7125,121.767241
4/9/18 14:30,7135.99,7141.99,7112,7119.99,230.106766
4/9/18 14:15,7127.86,7145,7122,7135.99,232.197343
4/9/18 14:00,7116.16,7134.97,7116.16,7127.86,187.596479
4/9/18 13:45,7128,7131.95,7104.14,7120,159.458037
4/9/18 13:30,7093.21,7132,7090,7120.86,197.461441
4/9/18 13:15,7089,7102.9,7084,7093.21,245.69633
4/9/18 13:00,7115,7121,7086.14,7089,288.080657
4/9/18 12:45,7111.84,7126.05,7105,7113.94,119.346601
4/9/18 12:30,7115,7125,7109.11,7111.23,146.452586
4/9/18 12:15,7127.75,7127.76,7104.99,7115,160.015296
4/9/18 12:00,7136.7,7142.99,7112.4,7127.78,174.468461
4/9/18 11:45,7132,7147.86,7093.69,7139.92,295.092294
4/9/18 11:30,7153.23,7155,7109.52,7123.01,343.198356
4/9/18 11:15,7121.99,7160,7113,7153.23,377.156768
